Change Component Physical Designator: Old Designator=Q?_2 New Designator=Q?.Voltage_sensor
Change Component Physical Designator: Old Designator=Q?_3 New Designator=Q?.Voltage_sensor
Change Component Physical Designator: Old Designator=Q?_3 New Designator=Q?.Voltage_sensor
Change Component Physical Designator: Old Designator=Q?_3 New Designator=Q?.Voltage_sensor
Change Component Physical Designator: Old Designator=R? New Designator=R?.Main
Change Component Physical Designator: Old Designator=R? New Designator=R?.Main
Change Component Physical Designator: Old Designator=R? New Designator=R?.MCU
Change Component Physical Designator: Old Designator=R? New Designator=R?.MCU
Change Component Physical Designator: Old Designator=R? New Designator=R?.RealTimeClock
Change Component Physical Designator: Old Designator=R? New Designator=R?.RealTimeClock
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_1 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_2 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Current_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=R?_3 New Designator=R?.Voltage_sensor
Change Component Physical Designator: Old Designator=TP? New Designator=TP?.Main
Change Component Physical Designator: Old Designator=TRIAC_drive? New Designator=TRIAC_drive?.Main
Change Component Physical Designator: Old Designator=TRIAC_driver_IN? New Designator=TRIAC_driver_IN?.Main
Change Component Physical Designator: Old Designator=U? New Designator=U?.Logic_Power
Change Component Physical Designator: Old Designator=U? New Designator=U?.MCU
Change Component Physical Designator: Old Designator=U? New Designator=U?.RealTimeClock
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_1 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_2 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Current_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=U?_3 New Designator=U?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseH?_1 New Designator=V_senseH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseH?_2 New Designator=V_senseH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseH?_3 New Designator=V_senseH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_1 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_1 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_2 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_2 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_3 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseN?_3 New Designator=V_senseN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccG?_1 New Designator=V_senseVccG?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccG?_2 New Designator=V_senseVccG?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccG?_3 New Designator=V_senseVccG?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccH?_1 New Designator=V_senseVccH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccH?_2 New Designator=V_senseVccH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccH?_3 New Designator=V_senseVccH?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccN?_1 New Designator=V_senseVccN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccN?_2 New Designator=V_senseVccN?.Voltage_sensor
Change Component Physical Designator: Old Designator=V_senseVccN?_3 New Designator=V_senseVccN?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_G?_1 New Designator=Vdiv_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_G?_2 New Designator=Vdiv_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_G?_3 New Designator=Vdiv_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_H?_1 New Designator=Vdiv_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_H?_2 New Designator=Vdiv_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_H?_3 New Designator=Vdiv_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_N?_1 New Designator=Vdiv_N?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_N?_2 New Designator=Vdiv_N?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vdiv_N?_3 New Designator=Vdiv_N?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_G?_1 New Designator=Vsense_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_G?_2 New Designator=Vsense_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_G?_3 New Designator=Vsense_G?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_H?_1 New Designator=Vsense_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_H?_2 New Designator=Vsense_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_H?_3 New Designator=Vsense_H?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_N?_1 New Designator=Vsense_N?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_N?_2 New Designator=Vsense_N?.Voltage_sensor
Change Component Physical Designator: Old Designator=Vsense_N?_3 New Designator=Vsense_N?.Voltage_sensor
